date	L1	mp_tot	mt_tot	L1sum_MP	L1sum_MT	L1rel_MP	L1rel_MT	MP_std_L1	MT_std_L1	cor	newL1
2011-03-21	01_Fermentation	22446	393788.0411745	2175	12819.7109587	0.09689922480620156	0.032554850879839635	0.24451981044378576	0.4591446673632561	0.3682547599093568	01 Fermentation, r = 0.37
2011-03-21	02_Homoacetogenesis	22446	393788.0411745	222	1706.0057619999998	0.009890403635391606	0.004332294492518665	0.4817574533227683	0.5816844906584483	0.08573147387830989	02 Homoacetogenesis, r = 0.09
2011-03-21	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	22446	393788.0411745	13	257.9735144	5.791677804508599e-4	6.551075386407779e-4	0.3325300586728013	0.5990286206262032	-0.3020854101953823	03 Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans), r = -0.3
2011-03-21	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	22446	393788.0411745	12	216.91831820000002	5.346164127238706e-4	5.508504462274328e-4	0.21784738849675173	0.11589598914512446	0.6799715593549032	04 Utililization of sugar, conversion of pentose to EMP pathway intermediates, r = 0.68
2011-03-21	05_Fatty acid oxidation	22446	393788.0411745	572	2853.0110463	0.025483382339837834	0.007245042378104469	0.10407197011200646	0.1834971112438455	0.616717008030189	05 Fatty acid oxidation, r = 0.62
2011-03-21	06_Amino acid utilization biosynthesis metabolism	22446	393788.0411745	2756	19771.5040725	0.12278356945558229	0.05020849290783469	0.3503386399781302	0.70868067753572	0.06686700907601052	06 Amino acid utilization biosynthesis metabolism, r = 0.07
2011-03-21	07_Nucleic acid metabolism	22446	393788.0411745	2683	7162.9972661	0.11953131961151207	0.01818998170877883	0.6251367865652531	0.5486857782693841	-0.10829920672427543	07 Nucleic acid metabolism, r = -0.11
2011-03-21	08_Hydrocarbon degradation	22446	393788.0411745	124	564.7641648	0.005524369598146663	0.001434183128353903	0.7441777964223338	0.8533170344966309	0.49222633677664324	08 Hydrocarbon degradation, r = 0.49
2011-03-21	09_Carbohydrate Active enzyme - CAZy	22446	393788.0411745	88	2792.4032836	0.003920520359975051	0.007091132770998999	0.6021586872976216	0.3534807702108794	0.1545113163858447	09 Carbohydrate Active enzyme - CAZy, r = 0.15
2011-03-21	10_TCA cycle	22446	393788.0411745	1019	3036.3429547	0.04539784371380201	0.007710602245928793	0.4076919335088754	0.6089786414135542	0.09258044372038561	10 TCA cycle, r = 0.09
2011-03-21	11_Nitrogen cycle	22446	393788.0411745	585	3423.2617258	0.026062550120288693	0.008693158165976513	0.7366885145096874	0.6265104997837131	0.04215474781349103	11 Nitrogen cycle, r = 0.04
2011-03-21	12_Transporters	22446	393788.0411745	350	5137.3675108	0.015592978704446226	0.013046022158208376	0.7668606294677244	0.7652000354035784	0.4050764580417668	12 Transporters, r = 0.41
2011-03-21	13_Hydrogen metabolism	22446	393788.0411745	19	300.7104059	8.464759868127952e-4	7.636351906551313e-4	0.6356460139362697	0.689560155401341	0.6362212971779774	13 Hydrogen metabolism, r = 0.64
2011-03-21	14_Methanogenesis	22446	393788.0411745	79	534.9864807	0.0035195580504321484	0.0013585645696714554	0.15958358112586393	0.4554788174865017	0.4722145386853077	14 Methanogenesis, r = 0.47
2011-03-21	15_Methylotrophy	22446	393788.0411745	208	1360.6923469	0.009266684487213758	0.003455392761145415	0.2584636542922236	0.8708531029494039	0.2250221355194813	15 Methylotrophy, r = 0.23
2011-03-21	16_Embden Meyerhof-Parnos (EMP)	22446	393788.0411745	684	3641.0064079999997	0.030473135525260625	0.009246107111684871	0.43810169773229024	0.9271305687820051	0.2882508431747306	16 Embden Meyerhof-Parnos (EMP), r = 0.29
2011-03-21	17_Gluconeogenesis	22446	393788.0411745	365	1589.4494272	0.016261249220351066	0.004036307000231285	0.3663462034677534	0.9597200024228038	0.012993814114130428	17 Gluconeogenesis, r = 0.01
2011-03-21	18_Sulfur compounds metabolism	22446	393788.0411745	120	867.8009964	0.005346164127238706	0.0022037261309706705	0.3188238503153644	0.43818193097644015	0.21048018627130016	18 Sulfur compounds metabolism, r = 0.21
2011-03-21	19_Saccharide and derivated synthesis	22446	393788.0411745	208	6261.5499144	0.009266684487213758	0.01590081277157248	0.5343820963447089	0.3241734947740694	0.010401692915939483	19 Saccharide and derivated synthesis, r = 0.01
2011-03-21	20_Hydrolysis of polymers	22446	393788.0411745	139	3148.9095223	0.006192640114051501	0.007996457974975979	0.47634404617300946	0.7069954785615967	-0.09085046309217551	20 Hydrolysis of polymers, r = -0.09
2011-03-21	21_Cellular response to stress	22446	393788.0411745	838	17485.5832043	0.03733404615521697	0.04440354042278186	0.68124342011124	0.7605408800829998	0.07436784169950893	21 Cellular response to stress, r = 0.07
2011-03-29	01_Fermentation	26448	499754.1340963	3537	16053.2481953	0.13373411978221417	0.0321222919432751	0.9178763460425735	0.4275789601893973	0.3682547599093568	01 Fermentation, r = 0.37
2011-03-29	02_Homoacetogenesis	26448	499754.1340963	308	2179.9146936	0.011645493042952208	0.004361974308710655	0.7958021534674701	0.6004213669407525	0.08573147387830989	02 Homoacetogenesis, r = 0.09
2011-03-29	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	26448	499754.1340963	9	417.58806419999996	3.4029038112522685e-4	8.355870131121976e-4	0.19537823791453554	0.8718585186180144	-0.3020854101953823	03 Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans), r = -0.3
2011-03-29	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	26448	499754.1340963	23	299.7916121	8.696309739866908e-4	5.998782033931745e-4	0.38794539484683244	0.21899232639632263	0.6799715593549032	04 Utililization of sugar, conversion of pentose to EMP pathway intermediates, r = 0.68
2011-03-29	05_Fatty acid oxidation	26448	499754.1340963	888	3522.726294	0.03357531760435572	0.007048918765564807	0.3621207329171486	0.1512904875711371	0.616717008030189	05 Fatty acid oxidation, r = 0.62
2011-03-29	06_Amino acid utilization biosynthesis metabolism	26448	499754.1340963	3418	22596.2469507	0.12923472474289172	0.04521472742103584	0.47072431384548513	0.3710116220932901	0.06686700907601052	06 Amino acid utilization biosynthesis metabolism, r = 0.07
2011-03-29	07_Nucleic acid metabolism	26448	499754.1340963	2877	9507.6908386	0.10877949183303086	0.019024736745385115	0.48681950643370775	0.6625803689689568	-0.10829920672427543	07 Nucleic acid metabolism, r = -0.11
2011-03-29	08_Hydrocarbon degradation	26448	499754.1340963	124	723.9641676	0.004688445251058681	0.0014486406778988162	0.6143219427372458	0.867833182740406	0.49222633677664324	08 Hydrocarbon degradation, r = 0.49
2011-03-29	09_Carbohydrate Active enzyme - CAZy	26448	499754.1340963	81	4212.3549592	0.0030626134301270417	0.008428854654333488	0.37724014609421774	0.5057322177135892	0.1545113163858447	09 Carbohydrate Active enzyme - CAZy, r = 0.15
2011-03-29	10_TCA cycle	26448	499754.1340963	1385	3712.3601362	0.05236690865093769	0.007428373039700853	0.6474547068324646	0.5489740411540559	0.09258044372038561	10 TCA cycle, r = 0.09
2011-03-29	11_Nitrogen cycle	26448	499754.1340963	578	3618.0003147	0.021854204476709015	0.007239560551594818	0.4793340934830272	0.40932859061535515	0.04215474781349103	11 Nitrogen cycle, r = 0.04
2011-03-29	12_Transporters	26448	499754.1340963	482	5750.4035456	0.01822444041137326	0.011506465186122758	0.9778682722815488	0.6042378939890551	0.4050764580417668	12 Transporters, r = 0.41
